City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,chonchi,-42.6128,-73.8092,283.77,85,35,0.55,CL,1723065155
304,tabina,7.4669,123.4081,299.86,84,100,1.68,PH,1723065156
305,masterton,-40.9597,175.6575,283.76,73,100,3.55,NZ,1723065157
306,lib,8.3122,167.3766,299.99,79,100,4.83,MH,1723065158
307,mabaruma,8.2,-59.7833,301.4,77,74,1.83,GY,1723065159
308,lensk,60.7253,114.9278,286.28,75,20,1.88,RU,1723064922
309,namibe,-15.1961,12.1522,289.27,84,41,4.61,AO,1723065161
310,alasehir,38.3508,28.5172,295.67,52,0,2.17,TR,1723065162
311,gebeit,21.0667,36.3167,301.0,59,100,2.54,SD,1723065164
312,vorkuta,67.5,64.0,279.91,75,9,2.38,RU,1723065165
313,jinchang,38.4953,102.1739,294.91,71,99,1.61,CN,1723065166
314,argostolion,38.1811,20.489,302.45,35,0,0.0,GR,1723065167
315,velur,12.9333,79.1333,298.9,81,100,2.42,IN,1723065168
316,bogatyye saby,56.0102,50.4483,288.62,91,63,1.37,RU,1723065169
317,touros,-5.1989,-35.4608,297.73,78,5,6.72,BR,1723064904
318,bridport,50.7338,-2.7583,290.92,79,100,3.97,GB,1723065172
319,ishigaki,24.3448,124.1572,302.01,81,100,1.84,JP,1723065173
320,rongelap,11.1635,166.8941,301.52,76,92,5.85,MH,1723064777
321,san-pedro,4.7485,-6.6363,296.71,81,96,3.83,CI,1723065175
322,marquette,46.5333,-87.6335,296.94,43,100,1.79,US,1723065177
323,sinabang,2.4803,96.3801,299.66,82,100,1.27,ID,1723064675
324,san patricio,28.017,-97.5169,310.12,34,5,4.36,US,1723065179
325,vernon,50.2581,-119.2691,304.12,24,2,0.89,CA,1723064997
326,pechora,65.1472,57.2244,282.9,76,8,2.36,RU,1723065182
327,puerto san jose,13.9256,-90.8244,303.73,73,84,4.45,GT,1723064919
328,yakeshi,49.2833,120.7333,285.94,89,2,1.55,CN,1723065185
329,sassandra,4.95,-6.0833,296.27,84,100,3.31,CI,1723065186
330,richards bay,-28.783,32.0377,292.44,72,26,7.25,ZA,1723065187
331,coari,-4.085,-63.1414,309.04,30,12,0.12,BR,1723065188
332,codrington,-38.2667,141.9667,284.37,59,100,8.72,AU,1723064648
333,newman,37.3138,-121.0208,314.28,7,1,3.48,US,1723064664
334,peniche,39.3558,-9.3811,293.31,90,1,8.2,PT,1723064722
335,volosovo,59.4333,29.4833,285.88,95,0,2.34,RU,1723065193
336,nicoya,10.1483,-85.452,297.22,96,100,1.81,CR,1723065194
337,port hedland,-20.3167,118.5667,289.18,77,31,3.6,AU,1723064851
338,chui,-33.6971,-53.4616,286.15,72,100,4.78,UY,1723065197
339,esquel,-42.9,-71.3167,277.8,70,74,1.54,AR,1723064913
340,jiuquan,39.7432,98.5174,298.94,24,100,9.94,CN,1723065199
341,hasaki,35.7333,140.8333,299.42,90,100,1.27,JP,1723065200
342,port-gentil,-0.7193,8.7815,297.13,83,20,2.57,GA,1723065201
343,bardai,11.65,7.2333,295.01,95,79,2.61,NG,1723064879
344,ulaangom,49.9811,92.0667,289.43,52,10,1.14,MN,1723065204
345,christchurch,-43.5333,172.6333,283.68,76,100,3.6,NZ,1723064737
346,san juan,-31.5375,-68.5364,283.87,29,95,6.81,AR,1723064420
347,alice springs,-23.7,133.8833,282.9,62,0,2.57,AU,1723065208
348,mana,5.6592,-53.7767,300.36,81,42,4.35,GF,1723065210
349,tsiombe,-25.3,45.4833,293.31,78,73,6.67,MG,1723065211
350,afaahiti,-17.75,-149.2833,300.08,83,33,7.61,PF,1723065212
351,alo,6.5486,4.2686,297.91,84,91,4.12,NG,1723065007
352,uttar char fasson,22.2332,90.7132,300.5,86,100,7.72,BD,1723065214
353,colon,9.3592,-79.9014,298.12,86,100,3.13,PA,1723065215
354,strugi-krasnyye,58.2675,29.1114,286.67,96,4,2.05,RU,1723065217
355,bokoro,12.3807,17.0568,298.56,82,100,3.93,TD,1723065218
356,walvis bay,-22.9575,14.5053,284.87,87,0,1.86,NA,1723065080
357,barahan,13.0121,120.762,300.15,81,11,1.53,PH,1723065220
358,boden,65.8252,21.6886,288.15,79,0,1.13,SE,1723065221
359,keflavik,64.0049,-22.5624,286.1,87,0,5.14,IS,1723064706
360,willowmore,-33.2926,23.4895,284.53,33,0,1.11,ZA,1723065223
361,belabo,4.9333,13.3,293.94,96,100,2.2,CM,1723065225
362,badagara,11.6,75.5833,297.99,91,100,5.27,IN,1723065226
363,talcahuano,-36.7167,-73.1167,283.97,62,0,4.12,CL,1723065227
